sentiment,text,user
"neutral","RT @bokujyuumai: BTC超速報:世界最大手金融グループのゴールドマンサックスは取締役会の承認を得て、クライアントに代わりビットコイン先物の取引を数週間後に開始(日付は未定)\n#ビットコイン #仮想通貨 #Bitcoin #ブロックチェーン #ゴールドマンサックス…","loversdrive2"
"positive","RT @RandolphMlny: #Bitcoin #cryptocurrency #Airdrop\nNew Airdrop #ENLTE 📢\n\nENLTE a decentralized  Social Network Platform ✈️💰\n\nEarn 5000 #EN…","RandolphMlny"
"neutral","RT @murthaburke: Lots of qualified Kids and Mom's Apparel, Toys, Beauty, Essentials!! \nhttps://t.co/oW04c8jY15  \n@peggybuy17 \n#blockchain #…","joaniuro1"
"neutral","RT @reitberg: 【Dietbitcoin】Fork of Bitcoin by Pablo Escobar's brother for only $3.50 per coin. https://t.co/J1UpweL4WI   deposit BTC now an…","margere84437071"
"positive","New paper with tracing the ideas in Bitcoin to 80s and 90s….","bsb_ebooks"
"neutral","$9200 bitcoin in March vs $9200 bitcoin in May https://t.co/C0kB1l3spC","GProductionsNYC"
"neutral","RT @giacomozucco: @ChrisPacia @vinarmani @Livestradamus @WeathermanIam @Ragnarly @Libertopia @BenSwann_ @jeffreyatucker @Dashpay @scashoffi…","msgnode"
"positive","RT @investaco_uk: 📢 Token #presale is live! 🚀\nJoin #TeamInvesta and get 60% Discount #tokens! \nTo earn 5% bonus tokens refer your friends w…","evgenstogov"
"neutral","RT @RealTimeCrypto: Goldman Sachs to Begin Bitcoin Futures Trading Within Weeks https://t.co/0gTQibw6Zc","flallio"
"neutral","RT @coindesk: Goldman Sachs to Begin Bitcoin Futures Trading Within Weeks https://t.co/GmKnkGzbTG https://t.co/WeeNbRT9I1","BNimeck"
"neutral","RT @Sonicwall_SA: RT SonicWall \"What happens when you hack a cryptocurrency expert and demand bitcoin as ransom? The verge recounts the tal…","itym_ransomware"
"neutral","Korea price\nTime: 05/03 13:06:26\nBTC: 10,107,500 KRW\nETH: 787,033 KRW\nXRP: 949 KRW\n#Bitcoin #Ethereum #Ripple","VirtualMoneyBot"
"neutral","RT @__signals__: Target 3 reached on @signals_premium within 37 days ~44% profit #GXShares (#GXS) $GXS\n\nSign up to access all our trade sig…","kirillkulikov55"
"positive","RT @murthaburke: Bamboo Diapers Are Eco Friendly Your Child Will Love Them! \nhttps://t.co/52s8uBkgDe \n#blockchain #cryptocurrency #crypto #…","joaniuro1"
"neutral","BitPrice - Current #BitCoin price by one click - #Google #Chrome Extension - https://t.co/j4XRBApVJj -… https://t.co/Bn7TL0qubJ","Cloud_Newsman"
"positive","RT @SMARC_ICO: I added a video to a @YouTube playlist https://t.co/6aC0JhUnmM Making Money with Steemit and Dtube; Smart Containers ICO Pre…","bitcoin_freakk"
"neutral","@jenwieczner @Square @FortuneLedger The value of $SQ #bitcoin holdings will fluctuate with the market. \n\nTheir posi… https://t.co/KVTmUtSPxZ","freshfortune"
"neutral","Goldman Sachs to Begin Bitcoin Futures Trading Within Weeks https://t.co/B0dOaY8hSe","yeswepump"
"positive","RT @investaco_uk: 📢 Token #presale is live! 🚀\nJoin #TeamInvesta and get 60% Discount #tokens! \nTo earn 5% bonus tokens refer your friends w…","globalking9"
"neutral","RT @GbrilliantQ: Goldman Sachs to Begin Bitcoin Futures Trading Within Weeks https://t.co/H0ldt5Dur2 https://t.co/5yNJ7jfovW","CommanderBehr"
"neutral","RT @SportXChain: Sport X, Blockchain-Based Sports IP Value Transmission Platform, To Commence SOX Token EC20 Distribution, Pen Agreements W…","xcwhnclvfrd42y"
"neutral","RT @Sonicwall_SA: RT SonicWall \"What happens when you hack a cryptocurrency expert and demand bitcoin as ransom? The verge recounts the tal…","mommashelping"
"positive","RT @EthereumKing: What’s NEW in the bag 💼 \n\nGood place to 10x your money Buy them all here;\n👉🏻https://t.co/99ohQzCiCJ\n\n#cryptonews #decentr…","arunprasathcal7"
"positive","RT @xlm_usd: According to Jesse Lund, IBM is “VERY VERY CLOSE” to helping a central bank issue fiat currency on the Stellar network. \n\nFutu…","idare"
"neutral","Bitcoin Shirt – Cryptocurrency Shirt – Digital Currency Tshirt – LiteCoin Ethereum HODL Tee Shirt – Blo… https://t.co/7VuyGaDUHP","ohiobitcoin"
"positive","RT @bethereumteam: We will tease you guys a little bit more before we announce what is coming. All we can say for now is that you can win n…","avzr12"
"positive","RT @eth_classic: \"Inclusion of $ETC was a result of high customer demand.\"\n\nEthereum Classic $ETC Now Available for Trade Against British P…","darcydangerreno"
"neutral","RT @APompliano: Goldman Sachs is opening a Bitcoin trading operation.\n\nHello institutional capital 👋🏽\n\nBuckle up. I’m sticking with $50k BT…","nirajmall"
"positive","@Bitcoin Surely your account got hacked by bitcoin cash? Lol","kod3"
"neutral","Bitcoinは株やFXとは違い\nブロックチェーンという仕組みが\n使われています。","Bitcoinbot777"
"neutral","Let's go to the BitCasino!!\nカジノでビットコインを稼ごう!!\n\nhttps://t.co/5tEWge9JtC\n\n#bitcoin #BitCasino #casino #カジノ","Sougo_Followa00"
"neutral","RT @KlasikFotolar: 25.000 $TRX  AIRDROPS \n\n1. Follow\n2. Like\n3. Retweet\n4. Comment your ETH address HERE. \n\n#ico #airdrop #freetoken #easym…","HITOHIT27929899"
"neutral","Kosher pizza for bitcoin A friend of mine sent me this picture from Israel. Kosher pizzeria accepting Bitcoin. Dece… https://t.co/lt4cZki7oA","fedotov_twit"
"positive","RT @bethereumteam: We will tease you guys a little bit more before we announce what is coming. All we can say for now is that you can win n…","CryptoShots"
"neutral","Market Update: Stocks Fall After Fed Decision; Bitcoin Cash Leads Cryptocurrency Rebound https://t.co/jIyWYm9B5U","cryptograbber"
"positive","RT @CoinsAirdrops: #Bitcoin #Satoshi #Earn_Money #cryptocurrency #blockchain #Airdrop\nNew Airdrop #ECN 📢\n\nEthernet Cash Token Get 9999 #ECN…","CoinsAirdrops"
"neutral","RT @MPCXPlatform: The MPCX Platform is a decentralised blockchain driven financial services platform. Listen to Iurii Riabykin, CFA, MCSI o…","yugravat07"
"neutral","RT @cichuck: #TechTopics: Former Microsoft, Oracle execs raise $3M for digital identity enterprise blockchain startup Trusted Key\n\n#bitcoin…","Key_Paragon"
"neutral","RT @SCoinAnalytics: #Cryptocurrency #Bigdata Tweets 4h till 06:00: #ethereum 3454 #bitcoin 2739 #eth 2664 #tron 2580 #trx 2435 #btc 1862 #x…","Key_Paragon"
"neutral","RT @Goldmint_io: Looks like #bitcoin reacted on GoldMint GOLD coin release and quarterly report and skyrocketed!🚀\nhttps://t.co/o8YhCeHU8s h…","Martununis2"
"neutral","RT @CoinMetro: #follow us: https://t.co/4wq3nxOKys | https://t.co/c4yMmQXiA6 \n#Bitcoin Price Regains $9,000 and Loom Spikes 45% as ERC20 To…","madlyulna"
"positive","RT @InvestInBrokers: 7 days left! Our seed round is active. Everyone can invest. This is the only opportunity to get 100% more tokens.🔥\n\nBu…","ho593"
"neutral","RT @cryptomanran: 3 weeks ago media was talking about the end of Bitcoin, today all media reports are talking about $20000, $100000, $15000…","Crypto_Moron"
"positive","RT @EthereumKing: What’s NEW in the bag 💼 \n\nGood place to 10x your money Buy them all here;\n👉🏻https://t.co/99ohQzCiCJ\n\n#cryptonews #decentr…","VetVet7414"
"neutral","RT @__signals__: Target 1 reached on @signals_premium within 4 days ~11% profit #IOTA (#IOTA) $IOTA\n\nSign up to access all our trade signal…","romanfrolov6291"
"positive","RT @RandolphMlny: #Bitcoin #Satoshi #Earn_Money #cryptocurrency #blockchain #Airdrop\nNew Airdrop #SPRING 📢\n\nSpringRole is airdropping 110 #…","RandolphMlny"
"neutral","RT @reitberg: 【Dietbitcoin】Fork of Bitcoin by Pablo Escobar's brother for only $3.50 per coin. https://t.co/J1UpweL4WI   deposit BTC now an…","roxie6349bireb1"
"positive","⚽️⚽️ Bitcoin Sportsbook pre-live betting odds 📣 (JPN-J3) Kagoshima United vs Nagano Parceiro: 0-0 - Kick Off 📱Play… https://t.co/x0455dy2ge","SportsbookBTC"
"neutral","Goldman Sachs Will Launch a #Bitcoin Trading Desk https://t.co/Ie2TYQ7lDi https://t.co/m084xFYe7w","Blawksy"
"positive","RT @CoinAirdropsAll: #Bitcoin #Satoshi #Earn_Money #cryptocurrency #blockchain #Airdrop\nNEW EXCLUSIVE AIRDROP #SudanGold 📢\n\nSudan Gold - GO…","CoinAirdropsAll"
"positive","⚽️⚽️ Bitcoin Sportsbook pre-live betting odds 📣 (JPN-J3) Fujieda Myfc vs Azul Claro Numazu: 0-0 - Kick Off 📱Play no… https://t.co/Wmyi2HgXSQ","SportsbookBTC"
"positive","⚽️⚽️ Bitcoin Sportsbook pre-live betting odds 📣 (JPN-JFL) Vanraure Hachinohe vs Honda Lock: 0-0 - Kick Off 📱Play no… https://t.co/XWWmJISSul","SportsbookBTC"
"neutral","Bitcoin Cash Price Technical Analysis – BCH/USD Surged Above $1,500 https://t.co/Ix5DgTp4XA #bitcoin #hodl","ohiobitcoin"
"neutral","RT @bullhiro_crypto: これはデカイ！！\n近い将来500万は確実に超える革新がもてるニュース😮‼️\nゴールドマンサックスBTC取引開始！！\n株も仮想通貨関連取引禁止だったから爆上げしますね😱💦\nhttps://t.co/l3tNl1cAKG","straycat5121"
"positive","RT @BAMS1489: @ElectracoinECA will be among the top name coins May 12-13 in Sydney, Australia at the Bitcoin Blockchain Fair. Please show y…","Longtammy2005i1"
"neutral","RT @LaTribune: Crise du Bitcoin et finance comportementale : Thaler 1 – Nabilla 0 https://t.co/gLaJyn1F3B","leclercg33"
"positive","RT @murthaburke: Rent A Nice Super Cheap Car With Cheap O Air \nhttps://t.co/GKFzTU9rsQ \n#blockchain #cryptocurrency #crypto #ethereum #trap…","rikkisinger8"
"neutral","RT @Goldmint_io: 🥇GoldMint Opens Up Sale of Cryptoassets Secured by Gold🥇\nThe following article has been published on The Bitcoin News\n\nhtt…","Martununis2"
"positive","A new and exciting exchange that will reward you for feedback and compensates you for depositing from other wallets… https://t.co/wu3xLOccMp","Productionashe"
"neutral","#berry #rentberry #bitcoin #realestatetrends #propertymanagement #blockchain #crypto #cryptocurrency https://t.co/AKHay2849M","tommyalvarez81"
"neutral","#TechTopics: Former Microsoft, Oracle execs raise $3M for digital identity enterprise blockchain startup Trusted Ke… https://t.co/eIGRuF6S6A","cichuck"
"neutral","@saludhernandezm Es más seguro el Bitcoin que Pensiones Porvenir!","julian_pacheco"
"neutral","RT @Crypto__AI: Goldman Sachs to Begin Bitcoin Futures Trading Within Weeks https://t.co/VrFDRAEatv https://t.co/szz85V9dGa","motolin5"
"neutral","RT @Nadia__Rafiq: 5 blockchain trends influencing the future of #socialmediamarketing \n\n#blockchain #bitcoin #cryptocurrency #DLT #smartcon…","MarcHoulding"
"positive","RT @GemCrypto: BOOM  🚀\nThe Wall Street investment bank will soon start trading bitcoin futures with its own money for its clients.  \nShould…","joeytrend"
"positive","Buy this coin in Binance right now!\nPossible profit TA\n\nUse mah reflink, please\n\nhttps://t.co/GxqrML0YSN   \n\nTHANK… https://t.co/mz2lKbiUAq","Tomm_Shelby"
"neutral","RT @Bitdharma: ¿Buscas en qué invertir? Procura que sea un activo que te produzca divisas. En @Bitdharma hemos hecho un descuento del 10 %…","eleazarmr"
"neutral","RT @howdooHQ: #crypto jobs double in 3 months, growth or not? https://t.co/LrqzBaVapO","asharana05"
"neutral","RT @CryptoCoinsNews: Goldman Sachs Will Launch a Bitcoin Trading Desk https://t.co/AA20L6Jti7","Crypto_Retweets"
"positive","RT @RobErt14881950: As you can see the $deal  android wallet is working fine. Wish I had more :\nD62N5e1zGXE23m5HZErb3LzZf3EGwztyW8  \n\n$BTC…","cctt21"
"positive","RT @bitcoin_token: @Bitcoin_Token @ProjectPOMA and @TBISINC are proud to announce #BlockchainUnited A growing community of strategic partne…","Meowoaoao"
"neutral","#EthereumClient, #EthereumPricePrediction Ethereum's Vitalik Buterin Discusses Bitcoin Bubble and Blockchain Fame… https://t.co/64y1WgB7Wy","anthonyherke_83"
"neutral","RT @coindesk: Goldman Sachs to Begin Bitcoin Futures Trading Within Weeks https://t.co/GmKnkGzbTG https://t.co/WeeNbRT9I1","Sky0694"
"neutral","Goldman Sachs to Begin Bitcoin Futures Trading Within Weeks | #RTGCoin","RTGCoin"
"neutral","“JavaScriptで覚える暗号通貨入門#1 Bitcoin完全に理解した 電子版｜erukiti｜note” https://t.co/fe3Oo7EXcY","lost_and_found"
"positive","Earn bitcoin on a daily basis!\n\n1. Follow @slidecoin \n2. Complete instructions in pinned tweet","razwankhan451"
"neutral","Stripe Ends Assist for Bitcoin – Taking a look at OmiseGo [OMG] or Bitcoin Money as a Alternative?… https://t.co/TKEsZvAO1w","bitcoinxxxx"
"neutral","RT @reitberg: 【Dietbitcoin】Fork of Bitcoin by Pablo Escobar's brother for only $3.50 per coin. https://t.co/J1UpweL4WI   deposit BTC now an…","kristilgywmars1"
"positive","RT @ImpressioLTD: Cryptocurrency is now infiltrating popular culture!  Impressio would like to salute both @HBO and @Showtime for mentionin…","yuslindanurjan3"
"positive","RT @olof_gustafsson: Dietbitcoin by Pablo Escobar's brother is selling out fast, buy it now at only $3.50 per coin before the price is rais…","keikocarlson12"
